No,Agu 2022 - Jan 2023,Feb 2023 - Apr 2023,Mei 2023 - Jul 2023,Agu 2023 - Okt 2023,Nov 2023 - Jan 2024,Feb 2024 - Apr 2024,Mei 2024 - Jul 2024,Agu 2024 - Okt 2024,Nov 2024 - Jan 2025,Feb 2025 - Apr 2025,Mei 2025 - Jul 2025,Agu 2025 - Okt 2025,Nov 2025 - Jan 2026
1,ADRO,ADRO,ADRO,ACES,ACES,ACES,ACES,ACES,ACES,ACES,ADRO,ADRO,AADI
2,AMRT,AMRT,AMRT,ADRO,ADRO,ADRO,ADRO,ADRO,ADRO,ADRO,AKRA,AKRA,ADRO
3,ANTM,ANTM,ANTM,AKRA,AKRA,AKRA,AKRA,AKRA,AKRA,AKRA,AMRT,AMRT,AMRT
4,ARTO,ARTO,ARTO,AMRT,AMRT,AMRT,AMRT,AMRT,AMRT,AMRT,ANTM,ANTM,ANTM
5,ASII,ASII,ASII,ANTM,ANTM,ANTM,ANTM,ANTM,ANTM,ANTM,ASII,ASII,ASII
6,BBCA,BBCA,BBCA,ARTO,ARTO,ARTO,ARTO,ARTO,ARTO,ARTO,BBCA,BBCA,BBCA
7,BBNI,BBNI,BBNI,ASII,ASII,ASII,ASII,ASII,ASII,ASII,BBNI,BBNI,BBNI
8,BBRI,BBRI,BBRI,BBCA,BBCA,BBCA,BBCA,BBCA,BBCA,BBCA,BBRI,BBRI,BBRI
9,BMRI,BMRI,BMRI,BBNI,BBNI,BBNI,BBNI,BBNI,BBNI,BBNI,BBTN,BMRI,BMRI
10,BRPT,BRPT,BRPT,BBRI,BBRI,BBRI,BBRI,BBRI,BBRI,BBRI,BMRI,BRPT,BRPT
11,BUKA,BUKA,BUKA,BMRI,BMRI,BMRI,BMRI,BMRI,BMRI,BMRI,BRPT,CPIN,CPIN
12,CPIN,CPIN,CPIN,BRPT,BRPT,BRPT,BRPT,BRPT,BRPT,BRPT,CPIN,EXCL,GOTO
13,EMTK,EMTK,EMTK,BUKA,BUKA,BUKA,BUKA,BUKA,BUKA,BUKA,EXCL,GOTO,ICBP
14,ESSA,ESSA,ESSA,CPIN,CPIN,CPIN,CPIN,CPIN,CPIN,CPIN,GOTO,ICBP,INCO
15,GOTO,GOTO,GOTO,EMTK,EMTK,GOTO,GOTO,GOTO,GOTO,GOTO,ICBP,INCO,INDF
16,HRUM,HRUM,HRUM,ESSA,ESSA,HRUM,HRUM,ICBP,ICBP,ICBP,INCO,INDF,INKP
17,ICBP,ICBP,ICBP,GOTO,GOTO,ICBP,ICBP,INCO,INCO,INCO,INDF,INKP,ISAT
18,INCO,INCO,INCO,ICBP,ICBP,INCO,INCO,INDF,INDF,INDF,INKP,ISAT,ITMG
19,INDF,INDF,INDF,INCO,INCO,INDF,INDF,INKP,INKP,INKP,ISAT,ITMG,JPFA
20,INKP,INKP,INKP,INDF,INDF,INKP,INKP,ITMG,ITMG,ITMG,KLBF,JPFA,KLBF
21,KLBF,KLBF,KLBF,INKP,INKP,ITMG,ITMG,KLBF,KLBF,KLBF,MAPI,KLBF,MBMA
22,MDKA,MDKA,MDKA,KLBF,KLBF,KLBF,KLBF,MAPI,MAPI,MDKA,MBMA,MBMA,MDKA
23,MEDC,MEDC,MEDC,MDKA,MDKA,MDKA,MDKA,MBMA,MBMA,MEDC,MDKA,MDKA,MEDC
24,PGAS,PGAS,PGAS,MEDC,MEDC,MEDC,MEDC,MDKA,MDKA,PGAS,MEDC,MEDC,PGAS
25,PTBA,PTBA,PTBA,PGAS,PGAS,PGAS,PGAS,MEDC,MEDC,PGEO,PGAS,PGAS,PGEO
26,SMGR,SMGR,SMGR,PTBA,PTBA,PTBA,PTBA,PGAS,PGAS,PTBA,PTBA,PTBA,PTBA
27,TBIG,TBIG,TBIG,SMGR,SMGR,SMGR,SMGR,PTBA,PGEO,SMGR,SMGR,SMGR,SMGR
28,TLKM,TLKM,TLKM,TLKM,TLKM,TLKM,TLKM,SMGR,PTBA,TLKM,TLKM,TLKM,TLKM
29,TPIA,TPIA,TPIA,UNTR,UNTR,UNTR,UNTR,TLKM,SMGR,UNTR,UNTR,UNTR,UNTR
30,UNTR,UNTR,UNTR,UNVR,UNVR,UNVR,UNVR,UNTR,TLKM,UNVR,UNVR,UNVR,UNVR
